0,Text,User,User ID,Description,Location
15,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,\xf0\x9f\x90\xbe \xf0\x9d\x93\x94\xf0\x9d\x93\xbf\xf0\x9f\x90\xb2,965423027012931584,\xf0\x9f\xa4\xa8\xf0\x9d\x91\x92\xf0\x9d\x93\x8b\xf0\x9d\x91\x92\xf0\x9d\x93\x87\xf0\x9d\x93\x8e \xf0\x9d\x92\xbd\xf0\x9d\x93\x8a\xf0\x9d\x93\x82\xf0\x9d\x92\xb6\xf0\x9d\x93\x83 \xf0\x9d\x93\x8c\xf0\x9d\x92\xb6\xf0\x9d\x93\x88 \xf0\x9d\x93\x82\xf0\x9d\x92\xb6\xf0\x9d\x92\xb9\xf0\x9d\x91\x92 \xf0\x9d\x91\x92\xf0\x9d\x93\x86\xf0\x9d\x93\x8a\xf0\x9d\x92\xb6\xf0\x9d\x93\x81 \xf0\x9d\x92\xbe\xf0\x9d\x92\xbb \xf0\x9d\x93\x8e\xf0\x9d\x91\x9c\xf0\x9d\x93\x8a \xf0\x9d\x93\x89\xf0\x9d\x92\xbd\xf0\x9d\x92\xbe\xf0\x9d\x93\x83\xf0\x9d\x93\x80 \xf0\x9d\x91\x9c\xf0\x9d\x93\x89\xf0\x9d\x92\xbd\xf0\x9d\x91\x92\xf0\x9d\x93\x87\xf0\x9d\x93\x8c\xf0\x9d\x92\xbe\xf0\x9d\x93\x88\xf0\x9d\x91\x92 \xf0\x9d\x91\x92\xf0\x9d\x93\x83\xf0\x9d\x92\xbf\xf0\x9d\x91\x9c\xf0\x9d\x93\x8e \xf0\x9d\x93\x8e\xf0\x9d\x91\x9c\xf0\x9d\x93\x8a\xf0\x9d\x93\x87 \xf0\x9d\x92\xb9\xf0\x9d\x91\x92\xf0\x9d\x93\x81\xf0\x9d\x93\x8a\xf0\x9d\x93\x88\xf0\x9d\x92\xbe\xf0\x9d\x91\x9c\xf0\x9d\x93\x83\xf0\x9d\x92\xb6\xf0\x9d\x93\x81 \xf0\x9d\x93\x88\xf0\x9d\x93\x8a\xf0\x9d\x93\x85\xf0\x9d\x91\x92\xf0\x9d\x93\x87\xf0\x9d\x92\xbe\xf0\x9d\x91\x9c\xf0\x9d\x93\x87\xf0\x9d\x92\xbe\xf0\x9d\x93\x89\xf0\x9d\x93\x8e\xf0\x9f\xa4\xaa,\xf0\x9d\x92\xab\xf0\x9d\x93\x81\xf0\x9d\x92\xb6\xf0\x9d\x93\x83\xf0\x9d\x91\x92\xf0\x9d\x93\x89 \xf0\x9d\x92\xb1\xf0\x9d\x91\x92\xf0\x9d\x93\x83\xf0\x9d\x93\x8a\xf0\x9d\x93\x88
16,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,PETE MCGILL,720656875818192901,Food Industry,"Boston, Mass."
17,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Metal Madness,855220661429653504,Heavy Metal Circa 1984,"Florida, USA"
18,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,Eugene Donaldson,917035990425927680,Patriot American!!,"Kansas City, MO"
19,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,Ken McKay,34310393,"Conservative, Proud of My President TRUMP-MAGA. Pro ISRAEL, AKA Preach,& Filled with The Holy Spirit. Honor Vets, LEO's, First Responder Family,WWG1WGA.","Texas, USA"
20,RT @JLLInvestor: Why the U.S. #midterm #election results could signal good news for #infrastructure. More on #JLLinvestor https://t.co/JN2U\xe2\x80\xa6,Pearl Eco Group,2835806833,,
21,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,William Struemph,853982276,,
22,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,Scribbled Pages,799415594651099136,Following or RT does not mean agreement. No lists or I will block.,
23,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,Lisa Dawn,821178996176064512,,
24,RT @JLLInvestor: Why the U.S. #midterm #election results could signal good news for #infrastructure. More on #JLLinvestor https://t.co/JN2U\xe2\x80\xa6,Rachel Smylie,491415808,"Content and Communications for JLL's Global Capital Markets, looking after @JLLinvestor.  All views here are my own.","Sydney, New South Wales"
25,RT @JLLInvestor: Why the U.S. #midterm #election results could signal good news for #infrastructure. More on #JLLinvestor https://t.co/JN2U\xe2\x80\xa6,JLL,25734246,We\xe2\x80\x99re a financial and professional services firm specialising in real estate. We help organisations around the world achieve their ambitions.,"Chicago, London, Singapore"
26,RT @JLLInvestor: Why the U.S. #midterm #election results could signal good news for #infrastructure. More on #JLLinvestor https://t.co/JN2U\xe2\x80\xa6,JLL Asia Pacific,1223793025,"JLL is a leading global financial and professional services firm specializing in real estate, with 78 offices in 15 countries across Asia Pacific",Asia Pacific
27,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,david kinard,242992653,"DEMOCRAT, RETIRED HOMICIDE DT, TWO GREAT SONS, LOVE UNIONS , B.A CRIMINAL JUSTCE, WOMENS RIGHTS,GUN CONTROL, IMMIG REFORM, VOTER RIGHTS,   NY FOOTBALL GIANTS","Pittsburgh, PA by way of NY"
28,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,Daniel Walker,21612042,"Family, working, and Alpha man. RTs don't necessarily mean endorsement.","Decatur, GA"
29,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,Victory Christian,1015626871,"\xe2\x9d\x8c \xe2\x9d\x8c \xe2\x9d\x8c ABOVE ALL, LOVE GOD, AMERICA, BLESSED TO BE AN AMERICAN! LOVE & SUPPORT PRES TRUMP! MAGA RULES! WINNING!\xf0\x9f\x8c\xb9\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xe2\x9d\xa4\xef\xb8\x8f \xe2\x9d\x8c \xe2\x9d\x8c \xe2\x9d\x8c","New York, NY"
30,RT @GrahamLedger: Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregularities. Al\xe2\x80\xa6,bebing,194339671,"Each new day is a blessing from GOD .. Conservative , MAGA, KAG\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8",CA
31,"The #midterm results have reintroduced #gridlock to Washington, which may be a good thing for #equities. Read more\xe2\x80\xa6 https://t.co/C7IMAvNohn",Glenmede,70449193,"Independent and privately held, Glenmede provides investment, fiduciary and advisory services to families and institutions.   https://t.co/cILXzDMkFu","Philadelphia, PA"
32,Tonight: Florida and the #midterm fiasco. The sunshine state facing scrutiny over political &amp; election irregulariti\xe2\x80\xa6 https://t.co/eXcNlmJ1LS,Graham Ledger,1308317708,"EMMY winner Graham Ledger hosts The Daily Ledger - the only daily, national, Constitutionally conservative cable TV show that analyzes political news of the day",
33,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,matt | \xf0\x9f\x8c\x8a\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x8c\x8a,972306231468724225,"Chief Idiocracy Officer, @SurefireIntelligence\n\n|\n\nMusic + Atlanta sports + stuff occurring in DC.\n\nDM for SoundCloud promo rates\n\n(((\xe2\x9c\xa1\xef\xb8\x8f)))","Washington, DC (via ATL)"
34,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,Janelle,1262213666,Journalist. Producer @NBCNightlyNews / Opinions my own/RT's not endorsements. / MD native / @columbiajourn & @spelmancollege,"New York, NY"
35,RT @MorganRadford: \xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams got abo\xe2\x80\xa6,Shawna Mizelle,771365147608752128,"the youngest doing it in HowardU'19, auntie this for you\xf0\x9f\x92\x99",614\xe2\x9c\x88\xef\xb8\x8f202
36,\xe2\x80\x9cThe first county in metro #Atlanta has certified the results of its #midterm election... Democrat @staceyabrams go\xe2\x80\xa6 https://t.co/MquTh0Ryuc,Morgan Radford,80043764,@NBCnews Correspondent: @TODAYShow/@NBCNightlyNews/@MSNBC. @Harvard Grad. Southern Girl. @FulbrightPrgrm @ColumbiaJourn alumna. Retweets not endorsements.,NYC
37,#Republicans after the #2018 #midterm #elections. #monday #veteransday #emmanuelmacron #donaldtrump #armedforces\xe2\x80\xa6 https://t.co/aVLVaoWYzC,Vindio Brands,992932485569839104,Vindio Brands is a celebration of the choices we make to own products that are meaningful to us; products with sentimental value; products we connect with.,"New York, NY"
38,RT @mmeniem37: \xd9\x85\xd8\xb4 \xd9\x85\xd8\xb9\xd9\x82\xd9\x88\xd9\x84 \xd9\x83\xd9\x84 \xd9\x8a\xd9\x88\xd9\x85 \xd8\xa7\xd9\x85\xd8\xaa\xd8\xad\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x81\xd8\xb4\xd8\xae \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd9\x84\xd9\x8a \xd9\x82\xd8\xa8\xd9\x84\xd9\x87 #Midterm https://t.co/BGoITOjnfi,abdelrahman nasser,3292260633,civil engineer SHA    \nal ahly        \n\xd8\xb5\xd9\x84\xd9\x8a \xd8\xb9\xd9\x84\xd9\x89 \xd9\x85\xd8\xad\xd9\x85\xd8\xaf\nhttps://t.co/53ITXRIQsJ,"\xd8\xa3\xd8\xb3\xd9\x88\xd8\xa7\xd9\x86, \xd9\x85\xd8\xb5\xd8\xb1    elshrouk city"
39,RT @FireSnipesForFL: Dave Lowry comes forward with how #BrendaSnipes stole her vote in 2000. #FireBrendaSnipes #florida #FloridaRecount\n#Fl\xe2\x80\xa6,Elena A.,874369189,,
40,"RT @lauraboldrini: I democratici negli #Usa riconquistano la Camera. \n\nLa riscossa, che porter\xc3\xa0 alla sconfitta di #Trump nel 2020, \xc3\xa8 partit\xe2\x80\xa6",what am I doing?,2584162351,Dove cazzo vai se non sai da dove vieni? ||,"Emilia Romagna, Italia"
41,RT @SpectrumScience: Only 24 hours left to sign up for our free #webinar on the #midterm elections and their impact on #healthcare issues.\xe2\x80\xa6,Jonathan Wilson,26340446,"Husband, Father of Jack, Olivia and Wills and Communications Guy",Washington D.C.
42,"Actions come with consequences. Given his past racial statements, like this one, @SteveKingIA was denounced by the\xe2\x80\xa6 https://t.co/6PM2CQWMhZ",SocialnnPolitics,814207084959035393,Student-run politics news site.,"Austin, TX"
43,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Steph \xf0\x9f\x8d\x91,63885931,"28. Pop culture nerd, music freak, coffee addict, fashion lover. I also spend my time crying over lots of shows and footballers. \xf0\x9f\x91\xbb: snarkystephh #FCB #BVB #CFC",Probably in a Starbucks
44,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Penny\xe2\x9c\x8c,16132719,"March4Peace,Love,Hope~Stand Against Intolerance~SpeakOut For Human/Animal Rights,Freedom,Equality4ALL, #Bahrain**Go Away BPOil**#YesWeStillCan #Resist #ThxObama",A World with JUSTICE for ALL
45,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",REENEE Sevier,17780763,"SWF- Design Consult - Politics, PBS, Travel, Art, Music, Conversation. A talent for recognizing talent. In search of all things/people unique & curious Agnostic",NYC-soon!
46,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Ash Hotchkiss,889250572683157507,Mia Love gave me no love.,"Miami, FL"
47,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Anne,231881134,Someone who believes more in the future with an eagle eye focused clearly on the past and Trump is not my President. Resist!!\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89,Albuquerque  NM USA
48,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Cullman Wallace,508746245,"Author of \xe2\x80\x9cCaged Flower\xe2\x80\x9d and \xe2\x80\x9cWinterweep\xe2\x80\x9d series. Find me on Amazon at https://t.co/KOMwItGuKw\n\nLiterary agents, PLEASE contact via e-mail for quicker response!",
49,RT @andie910: @trustrestored @FreeUs551 We need to count the entire #country #midterm elections over. That would take about a year. #Democr\xe2\x80\xa6,alice blankenship,47203937,"Love God, family, and country.  Proud Trump supporter and plan on voting the same in 2020.",West Virginia 
50,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Democracy: Use It Or Lose It,14561135,just a poor blind boy making ends meet and praying for Democracy. \xc2\xa3resistance \xc2\xa3bluewave,Deland Florida
51,#Midterm Results Show Health Is Important To Voters But No Magic Bullet https://t.co/rEblDSvnKd,RIBGH,3159788143,"The voice of RI business on health care, RIBGH assists employers in navigating the health marketplace and in getting the most from their health care investment.","Rhode Island, USA"
52,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",\xe2\x9c\xa8Athena44\xe2\x9c\xa8,407357774,There is no Passion to be found playing small &settling for a life that's less than the one you're capable of living-N.M.#Uniteblue #VoterRights #Obamasupporter,SEATTLE WA
53,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Age of Uncertainty \xe2\x80\x94 dlonorse \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4\xf0\x9f\x8c\x8a\xf0\x9f\x8e\xbe,7962452,"The title ""Age of Uncertainty"" comes from the late economist John Kenneth Galbraith. We live in a different uncertainty now but more ominous than before.","SF Bay Area, California"
54,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",thepoliticalcat stands with Professor Blasey,17686959,This account is dedicated to politics with occasional forays into film/art/food/cats/etc. #Resistance NO marketers PLZ.,Everywhere
55,#StaceyAbrams Allegedly Attempts To Run #Illegal Ads in Support of a Non-Existent Gubernatorial Run-Off\xe2\x80\xa6 https://t.co/bTOj4g8JVX,BLACK CRIME,548646200,https://t.co/cPS27Ocau1\nhttps://t.co/bgQSAVXaaU https://t.co/5jw709btvi https://t.co/2wUry4Gdko https://t.co/eZBqbD8M61 https://t.co/zb8gRDkSEL,http://goo.gl/ie4wGw
56,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",donald panaro,31509975,ex-nyc freestyle dj-  sales assoc,"Hudson, FL"
57,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",\xe2\x9d\x84\xef\xb8\x8f Jeanne K. \xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a,848518471,"\xe2\x9d\x84\xef\xb8\x8fSouthern Snowflake Democrat, Nature Lover \xf0\x9f\xa6\x8b\xf0\x9f\xa6\x89\xf0\x9f\x8c\xbb\xf0\x9f\x8c\x8e\xf0\x9f\x8c\x9e\xf0\x9f\x8c\x94 #TheResistance #UniteBlue  #BlueWave  \xf0\x9f\x8c\x8a#Basta #Mueller #Russiagate #TrumpRussia  #MomsDemand #GunSense",East Tennessee
58,Thanks to #Marketing #Dems Made #Midterm Inroads!\n#Newsmax Columnist Dr. #JohnTantillo \nLays out the reasons!\xe2\x80\xa6 https://t.co/G5dQsQutMn,Dr. John Tantillo,17898274,Branding Expert. Columnist 4 Newsmax who teaches Social Media Marketing at Touro College https://t.co/lk3q7DfR0f,"Forest Hills, Queens, NY 11375, USA"
59,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Kelly Frank,16071909,"Director of Content @10NewsWTSP TAMPA, FL! Priors: @10TV @CNN @FoxNews @NBC Mom, Social Media geek w/ @UFSocial Masters Degree @OSUBuckeye fan, yogi",On the ground & in my phone
60,"RT @10NewsWTSP: BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election #Recount ht\xe2\x80\xa6",Tiffany J.,199556445,Pooda \xe2\x99\xa1 Sienna \xe2\x99\xa1 Savannah \xe2\x99\xa1 Shawn #TeamWilliams,
61,@FrankFigliuzzi1 @eszter_eszter_ @KamalaHarris @SenFeinstein @CoryBooker @amyklobuchar @SenBlumenthal @NewDay @CNN\xe2\x80\xa6 https://t.co/oJCTIDA5kR,Jennifer Coleman,2218000892,Army Veteran. Golf fan. History buff.  Scorpio.,"Virginia, USA"
62,"BREAKING | Faulty machine prevented 15,000 ballots from being counted in one Florida county. #Midterm #Election\xe2\x80\xa6 https://t.co/nF4eEurRrB",10News WTSP,16743886,"10 News (CBS, TEGNA) covers news in Tampa Bay, St. Petersburg, Clearwater and Sarasota. News tip? 727-577-1010, desk@wtsp.com or reply using @10NewsWTSP",Tampa Florida
63,@foxandfriends @dbongino Why do you think the dems are cheating so bad right now in the high electoral value states\xe2\x80\xa6 https://t.co/3VZSTJ2XMS,#MAGAnificent,763567741076959232,#HappilyMarried #MAGA #BuildTheWall #VoteRedToSaveAmerica #MakeColoradoRedAgain #Nationalist #KAG,In a #Sh*tHole sanctuary city
64,"""Don\'t wait until January to get your legislative agenda done. After #Midterm #ElectionResults you have enough info\xe2\x80\xa6 https://t.co/l6Yo3zMHri",Ximena Hartsock,26157904,"Co-founder http://t.co/xE8IwKM6tU, Dr. in Policy, Ex DC Deputy Chief Teaching & Learning, Ex DC Director of Parks. Food, music, people lover. Chilean-American.",DC metro area
65,RT @GrahamLedger: Tonight: The #Florida #election fiasco. History repeats as #midterm counts &amp; recounts put #GOP victories in peril. Also:\xe2\x80\xa6,David E. Harris,250376516,In God We Trust  #MAGA  #Trump2020  #StoptheSteal            Followed by @seanhannity          Doctor of Musical Arts & Registered Nurse.,"Nashville, TN"
66,RT @RHONarcissus: #PetulantPutinPuppet wants everyone to know his #MidTerm election loss pout continues. #Trump #VeteransDay @HouseGOP @Hou\xe2\x80\xa6,Manny Otiko,9717222,"Media professional, political junkie, liberal, soccer fan, committed to truth, justice and the American way! #resist","\xc3\x9cT: 34.103769,-117.821752"
67,#PetulantPutinPuppet wants everyone to know his #MidTerm election loss pout continues. #Trump #VeteransDay\xe2\x80\xa6 https://t.co/fHN9MruhI2,RHONarcissus,621975668,Woman wondering why the brand is not called the Real Housewives of Narcissus,
68,ICYMI GOP Senate Candidate Sues #Dems For Trying to 'Steal the #Election' https://t.co/86Tykji7tK via @po_st #tcot\xe2\x80\xa6 https://t.co/254MZh5l5P,BLACK CRIME,548646200,https://t.co/cPS27Ocau1\nhttps://t.co/bgQSAVXaaU https://t.co/5jw709btvi https://t.co/2wUry4Gdko https://t.co/eZBqbD8M61 https://t.co/zb8gRDkSEL,http://goo.gl/ie4wGw
69,"RT @achacong13: Do the US #midterm results bring any changes to #LatinAmerica policy in areas such as foreign aid, immigration, trade &amp; Tru\xe2\x80\xa6",Maria Luisa Rossel,1632035994,Periodista,
70,"#Midterm results gave voters a clearer sense of America\xe2\x80\x99s future, but business leaders still await clarity from Was\xe2\x80\xa6 https://t.co/hueYlJbI05",Grant Thornton,17514619,"U.S. member firm of Grant Thornton International Ltd, one of the world\xe2\x80\x99s leading organizations of independent #audit, #tax and #advisory firms.",United States
71,I wonder if he shows as voted in #Midterm? Wonder how may over age 100 voted in #Florida? By mail? https://t.co/M1j3yeRknA,Mass  Appraisals,2250704618,"Probate, Estate, Divorce, AMC Appraisals- we support our #Police & #Military #BlueLivesMatter #BacktheBlue Registered #IndependentVoter",USA
72,"RT @pskbaskent: ""Hocam 50 Yetiyor""\n\n2018 - 2019 G\xc3\xbcz D\xc3\xb6nemi ara s\xc4\xb1navlar\xc4\xb1nda t\xc3\xbcm \xc3\xb6\xc4\x9frencilerimize ba\xc5\x9far\xc4\xb1lar diliyoruz (ger\xc3\xa7ekten). \xf0\x9f\x98\x88\n\n#pskbas\xe2\x80\xa6",derin,766918277654257664,,"Ankara, T\xc3\xbcrkiye"
73,"#BreakingNews @politico: A #Republican #lawmaker, WhoHasJustBeen #Unseated ByA #Democrat, ClaimedThat #JohnMcCain\xe2\x80\x99s\xe2\x80\xa6 https://t.co/E7V0BYlac1",Sharon Tetila Cox~,71562856,Evglt. Educ. Author HumanRights Abuse Watchdog Advocate Neo-HumanDevelopMentalist InFull ArmorOfGod ExercisingHisAuthority in Me Wholeness 3Joh1:2 Hlth Ministry,"Los Angeles, CA"
74,"RT @RedNationRising: For #Republicans the voting ended November 6th, but for the #Democrats they just keep voting until they win. #Midterm\xe2\x80\xa6",PatriotPride66\xe2\x9d\x8c,594955315,Christian wife mother!! Freedom is everything #MAGA #Patriot #Conservative #Freedom,USA
75,"RT @achacong13: Do the US #midterm results bring any changes to #LatinAmerica policy in areas such as foreign aid, immigration, trade &amp; Tru\xe2\x80\xa6",Michael Shifter,3412670475,President of @The_Dialogue,"Washington, DC"
76,"RT @RedNationRising: For #Republicans the voting ended November 6th, but for the #Democrats they just keep voting until they win. #Midterm\xe2\x80\xa6",joyluffman,995945558761181184,,
77,Map of 2018 #midterm #election results in the House by county. Districts with only one major party candidate are ma\xe2\x80\xa6 https://t.co/74X91JCbqo,Finger Lakes Democrats,1044783267319336960,Unofficial account for Democrats of the Finger Lakes region of New York.,"Geneseo, NY"
78,RT @FireSnipesForFL: Dave Lowry comes forward with how #BrendaSnipes stole her vote in 2000. #FireBrendaSnipes #florida #FloridaRecount\n#Fl\xe2\x80\xa6,Brenda Bladgett,829777031604948994,,
79,#Democrats after the #2018 #midterm #elections. #monday #veteransday #service #military #armedforces #marimes #usa\xe2\x80\xa6 https://t.co/iTIlCfVLLM,Vindio Brands,992932485569839104,Vindio Brands is a celebration of the choices we make to own products that are meaningful to us; products with sentimental value; products we connect with.,"New York, NY"
80,"The #Florida #VoterFraud #allegations, explained https://t.co/ik9JlXsJKN via @voxdotcom #Midterm #Elections #Senate\xe2\x80\xa6 https://t.co/Cza2wCALY8","Adam, Diabetic Cyborg",14229632,"Mental Health/health advocate, geek, sneakerhead, dog lover, Historian, INFJ, w/ T1Diabetes, RRMS =redefinition of purpose blogger/vlogger perseverant","Longview, TX"
